SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-29-2015,Single Family Residential,1102 Gladstone Pl,Alexandria,VA,22308,974000,3,4.5,COLLINGWOOD MANOR,2688,7500,1966,5,362,,Pending,,,https://www.redfin.com/VA/Alexandria/1102-Gladstone-Pl-22308/home/9818283,BRIGHT MLS,VAFX2064804,N,Y,38.7369185,-77.050892
MLS Listing,,Single Family Residential,4311 Louis Pl,Alexandria,VA,22304,974000,3,3.5,LES MAISONS,3354,9147,1976,24,290,,Active,,,https://www.redfin.com/VA/Alexandria/4311-Louis-Pl-22304/home/11858123,BRIGHT MLS,VAAX2013110,N,Y,38.8275074,-77.1043559
MLS Listing,,Townhouse,1905 Main Line Blvd #102,Alexandria,VA,22301,974000,3,2.5,POTOMAC YARD,2808,,2015,,347,256,Active,,,https://www.redfin.com/VA/Alexandria/1905-Main-Line-Blvd-22301/unit-102/home/76516990,BRIGHT MLS,VAAX2013448,N,Y,38.8238815,-77.0487894
MLS Listing,,Townhouse,1410 Main Line Blvd #102,Alexandria,VA,22301,970000,3,2.5,POTOMAC YARD,2837,,2013,3,342,88,Contingent,,,https://www.redfin.com/VA/Alexandria/1410-Main-Line-Blvd-22301/unit-102/home/44646550,BRIGHT MLS,VAAX2013964,N,Y,38.819042,-77.051235
PAST SALE,July-9-2013,Single Family Residential,2203 Nordok Pl,Alexandria,VA,22306,967500,5,3.0,KIRKSIDE,2656,15000,1964,11,364,,Pending,,,https://www.redfin.com/VA/Alexandria/2203-Nordok-Pl-22306/home/9817089,BRIGHT MLS,VAFX2064576,N,Y,38.7499744,-77.0690157
MLS Listing,,Townhouse,3 & 4 Potomac Ct,Alexandria,VA,22314,965000,2,2.5,OLD TOWN ALEXANDRIA,1304,1200,1790,39,740,,Contingent,,,https://www.redfin.com/VA/Alexandria/3-Potomac-Ct-22314/home/11842675,BRIGHT MLS,VAAX2012318,N,Y,38.8005799,-77.041852
PAST SALE,April-6-2005,Single Family Residential,1802 Cool Spring Dr,Alexandria,VA,22308,959000,5,3.5,COLLINGWOOD SPRINGS,2816,12285,1964,35,341,,Pending,,,https://www.redfin.com/VA/Alexandria/1802-Cool-Spring-Dr-22308/home/9819380,BRIGHT MLS,VAFX2059806,N,Y,38.7328334,-77.0621803
PAST SALE,March-6-2007,Single Family Residential,5622 Tower Hill Cir,Alexandria,VA,22315,957000,5,3.5,KINGSTOWNE,2746,5396,2003,2,349,108,Pending,,,https://www.redfin.com/VA/Alexandria/5622-Tower-Hill-Cir-22315/home/9841751,BRIGHT MLS,VAFX2056756,N,Y,38.7743834,-77.1308316
PAST SALE,June-26-1996,Single Family Residential,1063 N Pegram St,Alexandria,VA,22304,955000,6,3.0,BROOKVILLE,2504,8040,1956,7,381,,Pending,,,https://www.redfin.com/VA/Alexandria/1063-N-Pegram-St-22304/home/11854136,BRIGHT MLS,VAAX2012968,N,Y,38.8207463,-77.1186508
PAST SALE,October-15-2015,Single Family Residential,513 E Windsor Ave,Alexandria,VA,22301,950000,4,2.0,DEL RAY,1701,5750,1928,10,558,,Pending,,,https://www.redfin.com/VA/Alexandria/513-E-Windsor-Ave-22301/home/11844771,BRIGHT MLS,VAAX2012862,N,Y,38.8250471,-77.0512069
PAST SALE,April-1-1970,Single Family Residential,2504 E Randolph Ave,Alexandria,VA,22301,950000,3,1.5,ABINGDON,1450,4800,1930,4,655,,Pending,,,https://www.redfin.com/VA/Alexandria/2504-E-Randolph-Ave-22301/home/11844568,BRIGHT MLS,VAAX2013788,N,Y,38.8283033,-77.0540852
MLS Listing,,Single Family Residential,7304 Rippon Rd,Alexandria,VA,22307,950000,3,2.0,HOLLIN HILLS,1630,19146,1950,3,583,,Active,,,https://www.redfin.com/VA/Alexandria/7304-Rippon-Rd-22307/home/9796204,BRIGHT MLS,VAFX2072106,N,Y,38.7585144,-77.0601566
MLS Listing,,Condo/Co-op,312 S Washington St #201,Alexandria,VA,22314,950000,2,2.5,OLD TOWN ALEXANDRIA,1414,,2021,91,672,505,Contingent,,,https://www.redfin.com/VA/Alexandria/312-S-Washington-St-22314/unit-201/home/173960891,BRIGHT MLS,VAAX2010256,N,Y,38.8022764,-77.0472265
